pH,log_a_Hplus,logfO2,converged,wlm_mol,assemblage_id,assemblage
6.5000,-6.5000,-24.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
6.5000,-6.5000,-20.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
6.5000,-6.5000,-16.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
6.5000,-6.5000,-12.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
6.5000,-6.5000,-8.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
7.7500,-7.7500,-24.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
7.7500,-7.7500,-20.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
7.7500,-7.7500,-16.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
7.7500,-7.7500,-12.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
7.7500,-7.7500,-8.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.0000,-9.0000,-24.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.0000,-9.0000,-20.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.0000,-9.0000,-16.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.0000,-9.0000,-12.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.0000,-9.0000,-8.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.2500,-10.2500,-24.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.2500,-10.2500,-20.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.2500,-10.2500,-16.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.2500,-10.2500,-12.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.2500,-10.2500,-8.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
11.5000,-11.5000,-24.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
11.5000,-11.5000,-20.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
11.5000,-11.5000,-16.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
11.5000,-11.5000,-12.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
11.5000,-11.5000,-8.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
